CO_CURSO,TP_GRAU_ACADEMICO,TP_SITUACAO,IN_DEFICIENCIA,IN_RESERVA_VAGAS,TP_SEXO,TP_COR_RACA,NU_ANO_NASCIMENTO,NU_DIA_NASCIMENTO,NU_MES_NASCIMENTO,NU_IDADE,NU_ANO_INGRESSO,NU_ANO_CENSO,CO_MUNICIPIO_NASCIMENTO
96981,3,2,0,0,1,6,1979,19,1,30,2008,2009,null
112692,2,2,0,0,1,0,1974,10,7,35,2009,2009,null
96981,3,2,0,0,1,6,1987,9,12,22,2008,2009,null
96981,3,2,0,0,0,6,1984,28,11,25,2008,2009,null
112692,2,2,0,0,1,6,1991,12,2,18,2009,2009,null
112692,2,2,0,0,0,6,1991,15,2,18,2009,2009,null
112692,2,2,0,0,1,6,1990,12,2,19,2009,2009,null
99503,2,2,0,0,1,6,1990,11,5,19,2008,2009,null
112692,2,2,0,0,0,6,1987,17,4,22,2009,2009,null
96981,3,2,0,0,1,6,1990,5,5,19,2008,2009,null
96981,3,2,0,0,0,6,1990,25,4,19,2008,2009,null
107474,1,2,0,0,1,6,1984,17,9,25,2008,2009,null
112692,2,2,0,0,0,6,1988,10,3,21,2009,2009,null
96981,3,2,0,0,1,6,1987,7,10,22,2008,2009,null
96981,3,3,0,0,0,6,1989,28,10,20,2008,2009,null
99503,2,2,0,0,0,6,1958,30,9,51,2008,2009,null
96981,3,4,0,0,1,6,1986,10,1,23,2008,2009,null
96981,3,2,0,0,1,0,1990,9,2,19,2008,2009,null
107474,1,2,0,0,0,6,1990,1,3,19,2008,2009,null
107474,1,2,0,0,1,6,1969,19,9,40,2008,2009,null
96981,3,2,0,0,1,6,1989,15,5,20,2008,2009,null
96981,3,2,0,0,1,6,1990,28,8,19,2008,2009,null
112692,2,2,0,0,1,6,1988,19,4,21,2009,2009,null
112692,2,2,0,0,1,6,1990,1,10,19,2009,2009,null
99503,2,2,0,0,1,6,1988,22,2,21,2008,2009,null
107474,1,2,0,0,1,6,1973,16,1,36,2008,2009,null
112692,2,2,0,0,1,6,1968,1,9,41,2009,2009,null
96981,3,2,0,0,0,6,1990,4,12,19,2008,2009,null
96981,3,2,0,0,0,6,1990,2,4,19,2008,2009,null
112692,2,2,0,0,1,6,1982,29,1,27,2009,2009,null
96981,3,2,0,0,0,6,1988,23,7,21,2008,2009,null
96981,3,2,0,0,1,6,1988,21,4,21,2008,2009,null
99503,2,2,0,0,1,6,1979,23,12,30,2008,2009,null
107474,1,2,0,0,1,6,1983,27,2,26,2008,2009,null
107474,1,2,0,0,0,6,1976,5,11,33,2008,2009,null
99503,2,2,0,0,1,6,1978,6,11,31,2008,2009,null
112692,2,2,0,0,0,6,1990,23,11,19,2009,2009,null
99503,2,2,0,0,0,6,1988,14,5,21,2008,2009,null
96981,3,2,0,0,0,0,1984,28,9,25,2008,2009,null
107474,1,2,0,0,1,6,1989,27,5,20,2008,2009,null
99503,2,2,0,0,1,6,1985,14,12,24,2008,2009,null
107474,1,2,0,0,1,6,1988,13,10,21,2008,2009,null
107474,1,2,0,0,1,6,1990,20,4,19,2008,2009,null
107474,1,2,0,0,1,6,1989,2,2,20,2008,2009,null
96981,3,2,0,0,0,6,1981,28,12,28,2007,2009,null
107474,1,2,0,0,1,6,1976,2,12,33,2008,2009,null
107474,1,2,0,0,0,6,1983,19,9,26,2008,2009,null
96981,3,2,0,0,0,6,1988,1,1,21,2007,2009,null
96981,3,2,0,0,0,6,1987,29,6,22,2007,2009,null
107474,1,2,0,0,1,6,1990,4,1,19,2008,2009,null
96981,3,2,0,0,0,6,1984,16,4,25,2007,2009,null
99503,2,2,0,0,0,6,1989,9,3,20,2008,2009,null
99503,2,2,0,0,1,6,1981,26,9,28,2008,2009,null
107474,1,2,0,0,0,6,1981,25,6,28,2008,2009,null
107474,1,2,0,0,1,6,1990,20,3,19,2008,2009,null
107474,1,3,0,0,0,6,1982,28,4,27,2008,2009,null
107474,1,2,0,0,0,6,1980,24,2,29,2008,2009,null
107474,1,2,0,0,1,6,1989,1,6,20,2008,2009,null
107474,1,2,0,0,1,6,1990,15,6,19,2008,2009,null
99503,2,2,0,0,1,6,1989,27,11,20,2008,2009,null
96981,3,2,0,0,0,6,1987,15,3,22,2007,2009,null
96981,3,2,0,0,0,6,1988,30,7,21,2007,2009,null
